job_id,utt_id,variant,text,label,target_word,target_pron_clean,notes,output_wav_template
job0001,utt001,orig,মই পৰহি বুলি ক'লো,AgrYes_MixNo,পৰহি,,,{system}/orig/utt001.wav
job0002,utt001,no_apostrophe,মই পৰহি বুলি কলো,AgrYes_MixNo,পৰহি,,,{system}/no_apostrophe/utt001.wav
job0003,utt001,target_only,পৰহি,AgrYes_MixNo,পৰহি,,,{system}/target_only/utt001.wav
job0004,utt002,orig,মই একেলগে বুলি ক'লো,AgrYes_MixNo,একেলগে,,,{system}/orig/utt002.wav
job0005,utt002,no_apostrophe,মই একেলগে বুলি কলো,AgrYes_MixNo,একেলগে,,,{system}/no_apostrophe/utt002.wav
job0006,utt002,target_only,একেলগে,AgrYes_MixNo,একেলগে,,,{system}/target_only/utt002.wav
job0007,utt003,orig,মই ভাত্তা বুলি ক'লো,AgrYes_MixNo,ভাত্তা,,,{system}/orig/utt003.wav
job0008,utt003,no_apostrophe,মই ভাত্তা বুলি কলো,AgrYes_MixNo,ভাত্তা,,,{system}/no_apostrophe/utt003.wav
job0009,utt003,target_only,ভাত্তা,AgrYes_MixNo,ভাত্তা,,,{system}/target_only/utt003.wav
job0010,utt004,orig,মই এতিয়ালৈকে বুলি ক'লো,AgrYes_MixYes,এতিয়ালৈকে,,,{system}/orig/utt004.wav
job0011,utt004,no_apostrophe,মই এতিয়ালৈকে বুলি কলো,AgrYes_MixYes,এতিয়ালৈকে,,,{system}/no_apostrophe/utt004.wav
job0012,utt004,target_only,এতিয়ালৈকে,AgrYes_MixYes,এতিয়ালৈকে,,,{system}/target_only/utt004.wav
job0013,utt005,orig,মই আলোচনী বুলি ক'লো,AgrNo_MixYes,আলোচনী,,,{system}/orig/utt005.wav
job0014,utt005,no_apostrophe,মই আলোচনী বুলি কলো,AgrNo_MixYes,আলোচনী,,,{system}/no_apostrophe/utt005.wav
job0015,utt005,target_only,আলোচনী,AgrNo_MixYes,আলোচনী,,,{system}/target_only/utt005.wav
job0016,utt006,orig,মই ক'ব বুলি ক'লো,AgrYes_MixNo,ক'ব,,,{system}/orig/utt006.wav
job0017,utt006,no_apostrophe,মই ক'ব বুলি কলো,AgrYes_MixNo,ক'ব,,,{system}/no_apostrophe/utt006.wav
job0018,utt006,target_only,ক'ব,AgrYes_MixNo,ক'ব,,,{system}/target_only/utt006.wav
job0019,utt007,orig,মই ক'বলগীয়া বুলি ক'লো,AgrYes_MixYes,ক'বলগীয়া,,,{system}/orig/utt007.wav
job0020,utt007,no_apostrophe,মই ক'বলগীয়া বুলি কলো,AgrYes_MixYes,ক'বলগীয়া,,,{system}/no_apostrophe/utt007.wav
job0021,utt007,target_only,ক'বলগীয়া,AgrYes_MixYes,ক'বলগীয়া,,,{system}/target_only/utt007.wav
job0022,utt008,orig,মই ক'বলৈ বুলি ক'লো,AgrYes_MixNo,ক'বলৈ,,,{system}/orig/utt008.wav
job0023,utt008,no_apostrophe,মই ক'বলৈ বুলি কলো,AgrYes_MixNo,ক'বলৈ,,,{system}/no_apostrophe/utt008.wav
job0024,utt008,target_only,ক'বলৈ,AgrYes_MixNo,ক'বলৈ,,,{system}/target_only/utt008.wav
